Customer_ID;Age;Education_Level;Monthly_Income;Num_Children;Num_Teenagers;Total_Purchases;Total_Spending;Last_Purchase_Amount;Recency_Days;Football_Spending;Running_Spending;Swimming_Spending;Kids_Sports_Spending;Preferred_Channel;Campaign_Exposure;Campaign_Response;Loyalty_Member;Customer_Tenure;Club_Status;Purchase_Comment
C1385;62;3;6231;3;1;23;1578,5;478,33 €;81;197;370;372;496;App;1;0;1;1318;None;I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more.
C0018;52;4;7567;0;0;24;517;156,67 €;128;276;47;147;0;App;1;0;1;1318;None;I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more.
C0159;60;2;4189;0;0;24;1651,1;500,33 €;148;638;398;465;0;Web;1;0;0;1043;Amateur Club;"<span class=""tiny""> Length:: 0:26 Mins<br /><br /></span>The expiration date is 21 months from the day I bought this product. The tuna, tomato combination is delicious. This is one of the many items I re-order on Amazon every month or so.<br />edit: added a short video, so you see what this combination looks like.<br /><br />I was wearing one of those headlamps, but I didn't do a good job focusing on the tuna.<br />I should film it over, but it doesn't look like many people view this product anyway."
C1214;63;3;6056;2;0;18;775,5;235,00 €;56;352;181;36;136;Web;0;0;0;387;None;This running sneakers was completely unacceptable. It was clearly close to expiration. The ingredients seem cheaper than before. I expected much better from this brand.
C0075;55;2;5122;3;1;2;143;43,33 €;12;56;30;5;39;Web;0;0;1;920;None;It is okay.  I would not go out of my way to buy it again
C1360;57;3;5297;1;2;15;566,5;171,67 €;131;303;134;68;10;Store;0;0;0;1353;None;"I ordered this for my wife as it was reccomended by our daughter.  She has this almost every morning and likes all flavors.  She's happy, I'm happy!!!<br /><a href=""http://www.amazon.com/gp/product/B001EO5QW8"">McCANN'S Instant Irish Oatmeal, Variety Pack of Regular, Apples & Cinnamon, and Maple & Brown Sugar, 10-Count Boxes (Pack of 6)</a>"
C1274;37;2;2875;0;2;4;1435,5;435,00 €;81;810;400;95;0;App;1;1;0;249;None;This running sneakers was completely unacceptable. It was clearly close to expiration. The ingredients seem cheaper than before. I expected much better from this brand.
C0480;29;2;2020;1;0;9;971,3;294,33 €;92;133;282;403;65;Store;1;0;1;1033;None;Decathlon windbreaker: blocks wind well, breathability is moderate, practical for outings.
C0017;41;4;4648;0;3;3;608,3;184,33 €;153;226;111;216;0;Web;0;0;1;1013;Professional Club;I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them.
C0766;31;3;2502;0;2;21;1430;433,33 €;116;494;416;390;0;Web;1;0;0;1499;Amateur Club;The running leggings is perfect and ideal for competitive matches, I am very happy with this purchase.
C0590;62;3;6284;1;0;13;1576,3;477,67 €;151;66;572;326;469;Store;0;0;0;1731;Amateur Club;The tennis racket is excellent and exactly what I was looking for, I am very happy with this purchase.
C0871;51;3;4388;3;0;13;306,9;93,00 €;96;159;38;396;158;Web;1;0;1;1896;None;This running sneakers was seriously defective. It was clearly close to expiration. The ingredients seem cheaper than before. I expected much better from this brand.
C1000;27;3;2220;0;1;9;562,1;170,33 €;69;284;529;353;0;App;1;0;1;1615;None;This football shoes was extremely disappointing. It had a strange chemical aftertaste. It feels like corners were cut to save money. This was a complete waste of money.
C0455;53;2;4552;3;1;4;1661;503,33 €;82;389;631;156;334;App;0;0;1;1564;Amateur Club;Decathlon boxing mouthguard: easy to mold, standard comfort after fitting.
C0206;58;4;4764;1;0;18;1023;310,00 €;8;293;208;342;87;App;1;1;0;1039;None;I loved these Wintergreen Altoid Smalls so much, I had to come write a review. The packaging is small for convenience, and the Altoids are smaller as well with a square shape, blue hue, and even more delicious taste in my opinion. I definitely prefer them over the regular-size Altoids and will continue purchasing them! Highly recommended!
C0431;21;4;3164;0;0;20;1969;596,67 €;66;354;848;588;0;App;1;0;1;1471;Amateur Club;Decathlon fitness tank top: simple cut, thin fabric, suitable for gym workouts.
C0540;21;2;3382;0;0;8;1805,1;547,00 €;75;752;476;413;0;App;0;0;1;1834;Amateur Club;The running sneakers is high-quality and great value for money, I am very happy with this purchase.
C1150;50;3;4093;2;2;19;825;250,00 €;143;83;9;119;0;Web;1;0;1;1465;None;This protein bars was totally misleading. It left a greasy residue on my hands. There was no freshness whatsoever. It completely ruined my expectations.
C0068;57;3;5292;2;2;17;867,9;263,00 €;173;317;31;157;284;Web;1;0;0;1267;None;I purchased the Mango flavor, and to me it doesn't take like Mango at all.  There is no hint of sweetness, and unfortunately there is a hint or aftertaste almost like licorice.  I've been consuming various sports nutrition products for decades, so I'm familiar and have come to like the taste of the most of the products I've tried.  The mango flavor is one of the least appealing I've tasted.  It's not terrible, but it's bad enough that I notice the bad taste every sip I take.
C0267;23;4;2339;1;0;21;347,6;105,33 €;96;164;62;21;69;Web;1;0;0;1714;None;Product is exactly as advertised.  What a savings!  At least half the retail price. Easy to store because of the individual packaging.
C1030;21;2;2648;0;1;6;1001;303,33 €;117;58;189;452;191;Web;0;0;0;885;None;The sports backpack is outstanding and fits perfectly and feels great, I am very happy with this purchase.
C0409;62;4;6137;1;1;8;850,3;257,67 €;101;544;70;55;104;Web;0;0;1;406;None;A grande item !  Delicious fish with the ultimate flavor, best  ever in a can for all purposes !  I sent a case to my Mother recently diagnosed with Diabetes, and she loves it as a main entree for cooking patties !
C0204;36;3;3836;0;0;10;258,5;78,33 €;10;182;22;31;0;Web;1;1;1;1687;None;I keep a case of these in my office and always have at least a tin or two on my desk for visitors to help themselves to. Some folks stop by just to grab some mints and others pop them like candy while we meet. When I find someone who keeps coming back for more I just give them their own tin! One co-worker asked me to save the tins for her so she could use them as pillboxes and safety pin boxes. Like I said, theyre a real hit. Since I wouldn't be able to keep my hands off a candy dish, this is a good alternative to have around and it's nice to have them around if I have garlic for lunch! I gave the item 4 stars because they aren't as tasty as the sugar version of the mints  but what sugar free item is as good as it's full sugar counterpart?) and because of the fact that each tin is wrapped in plastic which seems like a waste and is irritating to remove (although I totally get why they wrap it - it still doesn't make it easy to deal with).
C0384;18;3;3203;0;1;4;518,1;157,00 €;149;89;225;157;0;App;0;0;0;1055;None;I was pretty pleased with these mushrooms. They were mostly large pieces, re-hydrated well and had good flavor. I'd estimate about 25% of the contents were broken into medium to small pieces, most likely due to the shaking about in transit. Not a problem since I sometimes break the large pieces into smaller ones for some recipes. There was a small amount (perhaps an ounce or so) of very small/minced-size/dust-like pieces. Still useful to add into gravies and the like. Nothing gets wasted!<br /><br />The label says it is a product of China and Italy. Nothing was specified as to the proportion from each country.<br /><br />I'm quite fond of dried mushrooms. While they may lack the texture you can get only when using fresh ones, the convenience of always having them on hand is a big plus. Additionally, I find the broth used to re-hydrate them adds a wonderful flavor to soups and stews. To save time and add flavor, I sometimes add the dried mushrooms directly into the soup or stew without re-hydrating them. Really helps meld all the flavors together. I also am fond of adding some to the cooking water when boiling pasta. The pasta picks up a wonderful earthy flavor when it cooks in the mushroom-infused water.<br /><br />This was the first time I used the Roland brand (got it on a price dip from the Amazon Warehouse), and would certainly buy them again. Highly recommend.
C0381;37;4;3250;0;0;1;354,2;107,33 €;23;145;133;44;0;App;0;0;0;1533;None;The spicy version of this ketchup isn't bad, but it is too expensive.  The regular version is sweet as dessert.  Horrible.  Annie's Organic has a much better flavor and costs a lot less.  Even Heinz organic is a better deal.  I gave it three stars instead of two because it is in glass, not plastic.
C0554;35;5;3916;0;0;1;663,3;201,00 €;152;299;109;195;0;Web;1;0;0;1763;Amateur Club;The training shorts is durable and extremely durable and reliable, I am very happy with this purchase.
C0193;46;2;5478;0;1;5;453,2;137,33 €;49;277;67;68;0;App;1;1;1;464;None;Tastes great, and gives me energy without the jitters. Love this product.<br />However, I do wish it came in some sort of resealable jar or hard plastic container instead of a zip-lock pouch because the zip-lock ripped off and quit working after awhile. But the product is fantastic, just not crazy about the packaging.
C0269;48;4;5620;1;0;20;2402,4;728,00 €;149;350;252;780;802;Web;0;0;0;600;Professional Club;It's just sugar in the raw, it's flavor profile is much better then white sugar and it's suppose to be better for you or something. I just wish the bags were resealable.
C0517;42;3;4877;0;0;22;936,1;283,67 €;89;499;148;204;0;Store;0;0;0;1802;None;Decathlon Nordic walking shoes: decent roll-through, moderate cushioning, casual use.
C1017;43;4;4401;1;0;16;2418,9;733,00 €;118;623;62;21;69;Web;0;0;1;415;Amateur Club;The sports backpack is brilliant and perfect for intense sessions, I am very happy with this purchase.
C1415;61;4;7219;0;0;19;460,9;139,67 €;55;206;87;126;0;Web;1;0;1;1528;Amateur Club;The flavors are good.  However, I do not see any differce between this and Oaker Oats brand - they are both mushy.
C0141;49;5;5134;0;0;1;695,2;210,67 €;109;504;86;42;0;Web;1;0;1;1140;None;I bought this for our office to give people something sweet to snack on.  Because it's bite size it's easier for people to grab a couple a pieces rather than an entire licorice stick. My only complaint is that one of the bags broke open in shipping.
C0982;42;2;5108;0;0;15;2668,6;808,67 €;143;1170;442;161;0;Web;0;0;0;1045;Professional Club;This sports jacket was totally misleading. It felt soggy instead of crispy. I have had far better from competing brands. I feel misled by the description.
C1363;22;2;3035;0;0;11;903,1;273,67 €;127;391;124;306;0;Web;0;0;0;1154;Amateur Club;I have McCann's Oatmeal every morning and by ordering it from Amazon I am able to save almost $3.00 per box.<br />It is a great product. Tastes great and very healthy
C0443;42;4;5823;0;0;19;1337,6;405,33 €;85;485;532;199;0;Web;1;0;1;887;Amateur Club;Decathlon lifting belt: decent support, simple adjustment, helpful for moderate loads.
C0947;48;5;4194;0;0;1;369,6;112,00 €;137;153;101;74;0;Web;1;0;0;1530;None;This protein bars was deeply disappointing. It left a greasy residue on my hands. There was no freshness whatsoever. It completely ruined my expectations.
C1176;53;4;4439;1;3;3;1509,2;457,33 €;13;355;380;165;0;Store;1;0;1;369;None;This training shorts was astonishingly poor. It broke apart before I could even use it. It tasted nothing like it used to. Customer service was no help at all.
C0196;36;2;3614;0;0;22;2274,8;689,33 €;139;1163;245;660;0;Web;1;0;0;1076;Amateur Club;These little tins of sugar free mine mints were a great deal.There perfict for on the go.Fifty mints per tin is just the right amount to cary along.And there safer for your teeth than the ones with sugar.The price of twelve dollars was very resonable.Also there great for shareing.If you are looking for a mint try these ones.Youll be glad you did.
C0660;27;3;2779;0;1;24;586,3;177,67 €;144;180;156;197;0;Web;1;0;1;233;None;The running sneakers is high-quality and makes training much more enjoyable, I am very happy with this purchase.
C1249;31;3;3655;2;0;21;1336,5;405,00 €;156;485;190;421;119;App;0;0;1;676;Amateur Club;This energy drink was seriously defective. It was far below what was advertised. The flavor was overpowering in the worst way. I cannot recommend this to anyone.
C1502;43;3;3404;0;0;7;896,5;271,67 €;59;557;46;212;0;App;0;0;0;248;Amateur Club;i have bought allot of different flavors and this happens to be one of my favorites and will be getting more soon
C0081;46;3;3989;1;2;24;2090;633,33 €;108;489;614;272;525;Web;0;0;1;1936;None;This peppermint stick is delicious and fun to eat.  My dad got me one for Christmas because he remembered me having a similar one when I was a little girl.  I'm 30 now and I love it!
C0048;49;3;3092;2;1;10;1621,4;491,33 €;61;402;4;465;603;Web;1;0;1;1528;Amateur Club;The flavors are good.  However, I do not see any differce between this and Oaker Oats brand - they are both mushy.
C0079;64;2;7163;0;2;8;2262,7;685,67 €;25;373;975;709;0;Store;0;0;1;1391;Amateur Club;The taste was great, but the berries had melted.  May order again in winter. If you order in cold weather you should enjoy flavor.
C1266;39;2;2610;0;0;15;1449,8;439,33 €;22;489;425;404;0;Store;0;0;0;1353;None;This training shorts was astonishingly poor. It broke apart before I could even use it. It tasted nothing like it used to. Customer service was no help at all.
C1349;18;3;3203;0;1;4;518,1;157,00 €;149;89;225;157;0;Web;0;0;0;1045;Professional Club;I got this for my Mum who is not diabetic but needs to watch her sugar intake, and my father who simply chooses to limit unnecessary sugar intake - she's the one with the sweet tooth - they both LOVED these toffees, you would never guess that they're sugar-free and it's so great that you can eat them pretty much guilt free!  i was so impressed that i've ordered some for myself (w dark chocolate) to take to the office so i'll eat them instead of snacking on sugary sweets.<br />These are just EXCELLENT!
C1102;52;3;5639;0;4;21;507,1;153,67 €;79;182;84;25;0;Web;1;0;0;126;None;The basketball is top-notch and very comfortable during training, I am very happy with this purchase.
C0357;36;4;3548;1;0;8;1613,7;489,00 €;146;480;417;335;235;Web;1;0;1;444;None;I bought this strawberry extract hoping to spruce up a strawberry wine that ended up with less flavor than I'd original expected. (A common problem in some fruit wines.)<br /><br />This is, indeed, good strawberry flavor!  Just add to your sugary concoction (be it a baking good, a dessert or a drink) to either give strawberry flavor (or add to existing flavor), and presto, just about everyone will be licking their lips (and maybe fingers).<br /><br />For those interested, I found the right addition to a liquid volume to be 4 oz of extract per 1 gallon of liquid.
C0496;59;3;5634;1;1;3;1004,3;304,33 €;174;309;83;241;280;App;0;0;1;1425;Professional Club;Decathlon bibs: roomy fit, lightweight fabric, useful for team training.
C0655;54;4;6227;0;1;22;1060,4;321,33 €;47;136;189;639;0;App;1;1;1;1071;Amateur Club;The basketball is impressive and fits perfectly and feels great, I am very happy with this purchase.
C0835;54;3;5476;0;0;4;863,5;261,67 €;72;285;243;257;0;App;0;0;1;1456;Professional Club;The yoga mat is remarkable and very comfortable during training, I am very happy with this purchase.
C0029;27;3;2441;1;0;17;876,7;265,67 €;128;15;279;246;257;App;;;;1598;Amateur Club;I got this for my Mum who is not diabetic but needs to watch her sugar intake, and my father who simply chooses to limit unnecessary sugar intake - she's the one with the sweet tooth - they both LOVED these toffees, you would never guess that they're sugar-free and it's so great that you can eat them pretty much guilt free!  i was so impressed that i've ordered some for myself (w dark chocolate) to take to the office so i'll eat them instead of snacking on sugary sweets.<br />These are just EXCELLENT!
C0087;55;3;4392;0;0;9;1994,3;604,33 €;153;951;322;540;0;Store;0;0;0;1455;Amateur Club;My dog has a ton of allergies both environmental and food. She was on a prescription dog food before we had her tested to see what allergies she has. After we got the test back, we learned she was allergic to something in the prescription brand. So I finally found this dog food and she has done so well on this! She still has her environmental triggers, but I am happy she can finally eat something I know won't cause her pain.
C0701;30;2;3637;0;0;15;1757,8;532,67 €;47;570;714;314;0;Web;0;0;1;1090;Professional Club;The cycling helmet is brilliant and exactly what I was looking for, I am very happy with this purchase.
C0109;45;2;4252;0;0;15;1281,5;388,33 €;31;459;300;406;0;Store;1;1;0;1830;None;I love asparagus.  Up until very recently, I had never had pickled asparagus.  Oh my goodness, when a friend introduced me to this exact brand, I couldn't believe how great stuff tasted.  I loved it so much I bought the six pack.  I've got 2 jars left.  Gonna need more!!
C0993;61;3;3764;0;3;1;512,6;155,33 €;69;245;325;232;442;Store;0;0;0;1353;None;This training shorts was astonishingly poor. It broke apart before I could even use it. It tasted nothing like it used to. Customer service was no help at all.
C0053;23;4;3343;1;0;6;1197,9;363,00 €;70;376;288;149;276;Web;1;0;0;615;None;This wasn't in stock the last time I looked. I had to go to the Vermont Country Store in Weston to find it along with a jaw harp, Cranberry Horseradish Sauce, Fartless Black Bean Salsa, Apple Cider Jelly, Newton's Cradle Art in Motion and the staple Vermont Maple Syrup.<br /><br />Back to the Ass Kickin Peanuts. They are hot. They will activate the perspiration glands behind your ears and under your arms. It requires a beverage as advertised, a glass of very cold milk, and a box of Kleenex since it will make your nose run. They look like ordinary peanuts which is already giving me ideas for work. I suspect that some people have been hitting my goodies in my absence, especially my colleague Greg. I'm going to take this to work at earliest opportunity and empty the contents of this can into an ordinary Planters Peanuts can, and then see whose crying or whose nose is running when I return.<br /><br />The can should be shaken to ensure the spices are evenly distributed. It is important to wash your hands after consumption and not touch the eyes.<br /><br />You'll go nuts over these Ass-Kickin' Peanuts.<br /><br />P.S. I'm not sharing the peanuts, not deliberately, and I'll probably give Greg the jaw harp for Christmas. He'll be so insulted.
C0528;18;3;2633;0;1;9;526,9;159,67 €;22;230;198;51;0;Store;1;1;1;209;None;The basketball is comfortable and fits perfectly and feels great, I am very happy with this purchase.
C0093;34;4;2900;0;1;14;414,7;125,67 €;175;119;209;49;0;Store;1;0;0;815;None;This food is great - all ages dogs.  I have a 3 year old and a puppy.  They are both so soft and hardly ever get sick.  The food is good especially when you have Amazon Prime shipping  :)
C0534;45;4;3715;1;2;10;368,5;111,67 €;106;100;28;126;81;Store;1;0;1;868;None;The sports backpack is excellent and improved my performance immediately, I am very happy with this purchase.
C1038;61;3;4159;0;0;4;346,5;105,00 €;55;105;93;268;170;App;0;0;1;340;Professional Club;The sports jacket is impressive and extremely durable and reliable, I am very happy with this purchase.
C1124;60;2;4189;0;0;24;1651,1;500,33 €;148;638;369;55;112;App;0;0;0;1647;Amateur Club;This running sneakers was completely unacceptable. It was clearly close to expiration. The ingredients seem cheaper than before. I expected much better from this brand.
C0570;44;3;4036;2;0;24;1634,6;495,33 €;18;72;745;624;45;Web;0;0;1;307;Professional Club;The running sneakers is great and exactly what I was looking for, I am very happy with this purchase.
